Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Regulation Of Cysteine-Type Endopeptidase Activity (GO:2000116)	1/24	1.667483e-02	3.901107e-02	0	0	6.676589e+01	2.733299e+02	CST3
GO_Biological_Process_2023	Regulation Of Chondrocyte Differentiation (GO:0032330)	1/25	1.736398e-02	3.901107e-02	0	0	6.398077e+01	2.593369e+02	EFEMP1
GO_Biological_Process_2023	Peptide Hormone Secretion (GO:0030072)	1/25	1.736398e-02	3.901107e-02	0	0	6.398077e+01	2.593369e+02	ANXA1
GO_Biological_Process_2023	Cellular Response To Steroid Hormone Stimulus (GO:0071383)	1/25	1.736398e-02	3.901107e-02	0	0	6.398077e+01	2.593369e+02	TFPI
GO_Biological_Process_2023	Positive Regulation Of T Cell Migration (GO:2000406)	1/25	1.736398e-02	3.901107e-02	0	0	6.398077e+01	2.593369e+02	CCL21
GO_Biological_Process_2023	Regulation Of Neutrophil Chemotaxis (GO:0090022)	1/25	1.736398e-02	3.901107e-02	0	0	6.398077e+01	2.593369e+02	CCL21
GO_Biological_Process_2023	Regulation Of Platelet Aggregation (GO:0090330)	1/25	1.736398e-02	3.901107e-02	0	0	6.398077e+01	2.593369e+02	CD9
GO_Biological_Process_2023	Negative Regulation Of Endothelial Cell Apoptotic Process (GO:2000352)	1/26	1.805268e-02	3.925002e-02	0	0	6.141846e+01	2.465620e+02	RAMP2
GO_Biological_Process_2023	Camera-Type Eye Development (GO:0043010)	1/26	1.805268e-02	3.925002e-02	0	0	6.141846e+01	2.465620e+02	EFEMP1
GO_Biological_Process_2023	Positive Regulation Of Phosphatidylinositol 3-Kinase Activity (GO:0043552)	1/26	1.805268e-02	3.925002e-02	0	0	6.141846e+01	2.465620e+02	CCL21
GO_Biological_Process_2023	Response To Glucocorticoid (GO:0051384)	1/26	1.805268e-02	3.925002e-02	0	0	6.141846e+01	2.465620e+02	ANXA1
GO_Biological_Process_2023	Negative Regulation Of Catalytic Activity (GO:0043086)	1/26	1.805268e-02	3.925002e-02	0	0	6.141846e+01	2.465620e+02	TIMP1
GO_Biological_Process_2023	Positive Regulation Of Response To Wounding (GO:1903036)	1/27	1.874094e-02	3.997276e-02	0	0	5.905325e+01	2.348575e+02	ANXA1
GO_Biological_Process_2023	Regulation Of Peptidase Activity (GO:0052547)	1/27	1.874094e-02	3.997276e-02	0	0	5.905325e+01	2.348575e+02	CST3
GO_Biological_Process_2023	Positive Regulation Of Filopodium Assembly (GO:0051491)	1/27	1.874094e-02	3.997276e-02	0	0	5.905325e+01	2.348575e+02	CCL21
GO_Biological_Process_2023	Cellular Response To Cytokine Stimulus (GO:0071345)	2/308	1.903815e-02	4.035130e-02	0	0	1.071895e+01	4.246110e+01	IFITM2;CCL21
GO_Biological_Process_2023	Regulation Of Chemotaxis (GO:0050920)	1/28	1.942874e-02	4.066762e-02	0	0	5.686325e+01	2.240982e+02	CCL21
GO_Biological_Process_2023	Negative Regulation Of Wound Healing (GO:0061045)	1/28	1.942874e-02	4.066762e-02	0	0	5.686325e+01	2.240982e+02	TFPI
