names,scores,logfoldchanges,pvals,pvals_adj
AKR1C1,2.9801416,,0.002881150189655383,0.3378673571458675
CLU,2.968627,,0.002991333807058245,0.34755172860351896
SH3BGRL2,2.96215,,0.0030549883676923703,0.35251636322269425
NCOA7,2.9391208,,0.0032914483612175695,0.3742756053150248
WWTR1,2.9283257,,0.003407928251847685,0.3840359013971769
ACAT1,2.8959408,,0.003780238281587146,0.41449269086176155
CXCL2,2.884426,,0.003921278756375809,0.42718019341269126
DUT,2.880108,,0.003975389407413266,0.4289228418635379
MYL12B,2.8484426,,0.004393376874476452,0.4655045295868226
ATP1B3,2.8462837,,0.004423277298595027,0.4672034648867111
SERPING1,2.843405,,0.004463431403405411,0.4685073448795698
EGR3,2.839087,,0.004524282087214902,0.47195405772947036
NBL1,2.8167772,,0.004850814648927447,0.5029026116337273
TRAPPC1,2.8038232,,0.005050057327947182,0.5203566715836463
YBX1,2.8016644,,0.005083974610942515,0.5222543918935888
IGKC,2.7944677,,0.005198524535924206,0.5323984368189368
EIF5B,2.791589,,0.005244993780070414,0.535529758865735
NPM1,2.785112,,0.00535092444512172,0.5430543622106362
CYP1B1,2.7714384,,0.005580925179338217,0.5613244566943936
TLL1,2.761363,,0.005756067131305139,0.5755042312231315
CYBA,2.759204,,0.005794236324895023,0.5776065051213399
MPST,2.752727,,0.005910116984032308,0.5874202998819604
COX4I1,2.7253795,,0.006422760084495521,0.6323052512514306
AP3S1,2.7253795,,0.006422760084495521,0.6323052512514306
TUBA1B,2.72466,,0.006436775128486991,0.6323052512514306
IGFBP4,2.7232206,,0.0064648877881800515,0.6327621372402776
CEACAM1,2.6922748,,0.00709664258534241,0.6831836436300776
TMEM50A,2.6872373,,0.007204576638108093,0.6896335376261764
ROMO1,2.6872373,,0.007204576638108093,0.6896335376261764
CXorf36,2.6764421,,0.007440839647199986,0.7062300030218488
BLCAP,2.6692455,,0.007602185247784663,0.7167413164679388
EDNRB,2.6670866,,0.007651196796721758,0.7167413164679388
UGP2,2.6663668,,0.007667596807054349,0.7167413164679388
ARL4A,2.6656473,,0.007684028317524455,0.7167413164679388
AMD1,2.6649275,,0.007700491380109036,0.7167413164679388
VIM,2.6584506,,0.007850087397971502,0.7246598487321966
GJA4,2.6433375,,0.008209315553419647,0.751643147437287
SSR4,2.6397393,,0.008296985240135932,0.7576114381602712
A4GALT,2.6073542,,0.009124492981008127,0.8286810417846033
DUSP23,2.6059148,,0.009162924328786253,0.8299343342315162
CLPP,2.6015968,,0.0092790867328702,0.8362955017749351
CNTNAP3B,2.6001575,,0.009318098533206701,0.8362955017749351
